,source,mor,target
1830,CEBPA_FOXO1,1,ADIPOQ
1837,ATM,1,NABP2
1838,KDM3A,1,AR
1839,FADD,1,CASP10
1841,CASP3,1,CASP6
1845,FOXO3,1,GADD45A
1846,ATM,1,FBXO31
1847,PRMT5,1,H3C12
1850,BCL2,-1,BAX
1852,BCL2L1,-1,BAX
1857,IL4R,1,JAK1
1858,RPS6KA4,1,FOS
1859,IL4,1,IL4R
1861,IL4R,1,JAK3
1862,NEK11,-1,CDC25A
1863,IL3RA,1,JAK2
1864,AKT1,1,SMARCC1
1865,AKT1,1,SMARCB1
1866,PDPK1,1,PRKCA
1873,PCNA,1,DNMT1
1876,STAT6,1,GATA3
1877,MAPK3,1,RPS6KA5
1878,FOXO3,1,PINK1
1879,TRAF6,1,IRF5
1880,STAT1,1,ISG15
1882,MAP3K8,1,MAP2K1
1883,MAP3K8,1,MAP2K2
1885,BTK,-1,TIRAP
1886,KMT5C,1,H4C2
1890,PDK1,1,SGK1
1893,KAT5,1,TP53
1894,MDM2,-1,KAT5
1895,CDK1,1,KAT5
1897,STK11,1,PRKAA2_PRKAB2_PRKAG2
1902,TBK1,1,IRF3
1904,MAPK8,1,JUN
1905,MAPK14,1,MKNK2
1906,MAPK14,1,MKNK1
1909,HSPA5,-1,EIF2AK3
